NO.,Code,ShotCnt,AlarmDescription,StartTime,ResetTime
 ,6024,21,ERR_70_ALARM800,4/2/2019 14:53:15,4/2/2019 14:53:36
 ,6362,21,ERR_COREAINACTIVEOVERTIMT,4/2/2019 14:53:15,4/2/2019 14:53:36
 ,6022,21,ERR_72_ALARM802,4/2/2019 14:53:15,4/2/2019 14:53:35
 ,6021,21,ERR_73_ALARM803,4/2/2019 14:53:15,4/2/2019 14:53:35
 ,6020,21,ERR_74_ALARM804,4/2/2019 14:53:14,4/2/2019 14:53:34
 ,6019,21,ERR_75_ALARM805,4/2/2019 14:53:14,4/2/2019 14:53:34
 ,6018,21,ERR_76_ALARM806,4/2/2019 14:53:14,4/2/2019 14:53:34
 ,6017,21,ERR_77_LUBR32,4/2/2019 14:53:13,4/2/2019 14:53:33
 ,6016,21,ERR_78_LUBR31,4/2/2019 14:53:13,4/2/2019 14:53:33
 ,6015,21,ERR_79_NUZZLEBWDERROR,4/2/2019 14:53:13,4/2/2019 14:53:32
 ,6014,21,ERR_7A_ALARM810,4/2/2019 14:53:12,4/2/2019 14:53:32
 ,6013,21,ERR_7B_AUTODISABLE,4/2/2019 14:53:12,4/2/2019 14:53:32
 ,6012,21,ERR_7C_ALARM812,4/2/2019 14:52:59,4/2/2019 14:53:31
 ,6011,21,ERR_7D_ALARM813,4/2/2019 14:52:59,4/2/2019 14:53:31
 ,6010,21,ERR_7E_ALARM814,4/2/2019 14:52:59,4/2/2019 14:53:30
 ,6009,21,ERR_7F_ALARM815,4/2/2019 14:52:59,4/2/2019 14:53:30
 ,6008,21,ERR_60_ALARM700,4/2/2019 14:52:51,4/2/2019 14:53:30
 ,6007,21,ERR_61_ALARM701,4/2/2019 14:52:51,4/2/2019 14:53:29
 ,6005,21,ERR_63_ALARM703,4/2/2019 14:52:51,4/2/2019 14:53:29
 ,6004,21,ERR_64_ALARM704,4/2/2019 14:52:50,4/2/2019 14:53:28
 ,6003,21,ERR_65_ALARM705,4/2/2019 14:52:50,4/2/2019 14:53:28
 ,6002,21,ERR_66_ALARM706,4/2/2019 14:52:50,4/2/2019 14:53:28
 ,6001,21,ERR_67_ALARM707,4/2/2019 14:52:49,4/2/2019 14:53:27
 ,6000,21,ERR_68_ALARM708,4/2/2019 14:52:49,4/2/2019 14:53:27
 ,5999,21,ERR_69_ALARM709,4/2/2019 14:52:49,4/2/2019 14:53:26
 ,5998,21,ERR_6A_ALARM710,4/2/2019 14:52:48,4/2/2019 14:53:26
 ,5997,21,ERR_6B_ALARM711,4/2/2019 14:52:48,4/2/2019 14:53:26
 ,5996,21,ERR_6C_ALARM712,4/2/2019 14:52:48,4/2/2019 14:53:25
 ,5995,21,ERR_6D_ALARM713,4/2/2019 14:52:48,4/2/2019 14:53:25
 ,5994,21,ERR_6E_ALARM714,4/2/2019 14:52:47,4/2/2019 14:53:24
 ,5993,21,ERR_6F_ALARM715,4/2/2019 14:52:47,4/2/2019 14:53:24
 ,5992,21,ERR_50_ALARM600,4/2/2019 14:52:39,4/2/2019 14:53:24
 ,5991,21,ERR_51_ALARM601,4/2/2019 14:52:39,4/2/2019 14:53:23
 ,5990,21,ERR_52_ALARM602,4/2/2019 14:52:39,4/2/2019 14:53:23
 ,5989,21,ERR_53_ALARM603,4/2/2019 14:52:39,4/2/2019 14:53:22
 ,5988,21,ERR_54_ALARM604,4/2/2019 14:52:38,4/2/2019 14:53:22
 ,5987,21,ERR_55_ALARM605,4/2/2019 14:52:38,4/2/2019 14:53:22
 ,5986,21,ERR_56_ALARM606,4/2/2019 14:52:38,4/2/2019 14:53:21
 ,5985,21,ERR_57_ALARM607,4/2/2019 14:52:37,4/2/2019 14:53:21
 ,5984,21,ERR_58_ALARM608,4/2/2019 14:52:37,4/2/2019 14:53:21
