NO.,Time,#1 SetValue,#1 RealValue,#2 SetValue,#2 RealValue,#3 SetValue,#3 RealValue,#4 SetValue,#4 RealValue,#5 SetValue,#5 RealValue,#6 SetValue,#6 RealValue,#7 SetValue,#7 RealValue,#8 SetValue,#8 RealValue,#9 SetValue,#9 RealValue
1,04/04/2019 14:00:17,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
2,04/04/2019 14:00:21,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
3,04/04/2019 14:00:25,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
4,04/04/2019 14:00:29,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
5,04/04/2019 14:00:33,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
6,04/04/2019 14:00:37,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
7,04/04/2019 14:00:40,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
8,04/04/2019 14:00:44,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
9,04/04/2019 14:00:48,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
10,04/04/2019 14:00:52,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
11,04/04/2019 14:00:56,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
12,04/04/2019 14:01:00,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
13,04/04/2019 14:01:04,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
14,04/04/2019 14:01:08,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
15,04/04/2019 14:01:12,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
16,04/04/2019 14:01:16,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
17,04/04/2019 14:01:20,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
18,04/04/2019 14:01:24,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
19,04/04/2019 14:01:28,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
20,04/04/2019 14:01:32,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
21,04/04/2019 14:01:36,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
22,04/04/2019 14:01:40,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
23,04/04/2019 14:01:44,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
24,04/04/2019 14:01:48,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
25,04/04/2019 14:01:52,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
26,04/04/2019 14:01:56,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
27,04/04/2019 14:02:00,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
28,04/04/2019 14:02:04,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
29,04/04/2019 14:02:08,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
30,04/04/2019 14:02:12,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
31,04/04/2019 14:02:16,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
32,04/04/2019 14:02:20,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
33,04/04/2019 14:02:24,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
34,04/04/2019 14:02:28,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
35,04/04/2019 14:02:31,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
36,04/04/2019 14:02:35,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
37,04/04/2019 14:02:39,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
38,04/04/2019 14:02:43,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
39,04/04/2019 14:02:47,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
40,04/04/2019 14:02:51,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
41,04/04/2019 14:02:55,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
42,04/04/2019 14:02:59,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
43,04/04/2019 14:03:03,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
44,04/04/2019 14:03:07,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
45,04/04/2019 14:03:11,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
46,04/04/2019 14:03:15,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
47,04/04/2019 14:03:19,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
48,04/04/2019 14:03:23,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
49,04/04/2019 14:03:27,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
50,04/04/2019 14:03:31,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
51,04/04/2019 14:03:35,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
52,04/04/2019 14:03:39,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
53,04/04/2019 14:03:43,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
54,04/04/2019 14:03:47,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
55,04/04/2019 14:03:51,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
56,04/04/2019 14:03:55,290,0,30,0,40,0,100,0,100,0,150,0,130,0,25,0,25,0
