MoldName,SaveDate,Materials,Colour,MoldNum
9,2019/3/4-16:17:43,9,9,9
,,,,
DataID,DataValue,,,
0x400,123,,,
0x401,321,,,
0x402,111,,,
0x403,65535,,,
0x404,65535,,,
0x405,65535,,,
0x406,65535,,,
0x407,65535,,,
0x408,65535,,,
0x409,65535,,,
0x40A,65535,,,
0x40B,65535,,,
0x40C,65535,,,
0x40D,65535,,,
0x40E,65535,,,
0x40F,0,,,
0x410,0,,,
0x411,0,,,
0x412,65535,,,
0x413,65535,,,
0x414,65535,,,
0x415,65535,,,
0x416,65535,,,
0x417,65535,,,
0x418,65535,,,
0x419,65535,,,
0x41A,65535,,,
0x41B,65535,,,
0x41C,65535,,,
0x41D,65535,,,
0x41E,65535,,,
0x41F,65535,,,
0x420,65535,,,
0x421,65535,,,
0x422,65535,,,
0x423,65535,,,
0x424,0,,,
0x425,65535,,,
0x426,65535,,,
0x427,65535,,,
0x428,65535,,,
0x429,65535,,,
0x42A,65535,,,
0x42B,65535,,,
0x42C,65535,,,
0x42D,65535,,,
0x42E,65535,,,
0x42F,65535,,,
0x430,50,,,
0x431,20,,,
0x432,20,,,
0x433,35,,,
0x434,65535,,,
0x435,65535,,,
0x436,65535,,,
0x437,65535,,,
0x438,65535,,,
0x439,65535,,,
0x43A,65535,,,
0x43B,65535,,,
0x43C,65535,,,
0x43D,65535,,,
0x43E,65535,,,
0x43F,65535,,,
0x440,0,,,
0x441,0,,,
0x442,65535,,,
0x443,65535,,,
0x444,65535,,,
0x445,65535,,,
0x446,0,,,
0x447,0,,,
0x448,0,,,
0x449,0,,,
0x44A,65535,,,
0x44B,65535,,,
0x44C,65535,,,
0x44D,65535,,,
0x44E,65535,,,
0x44F,65535,,,
0x450,80,,,
0x451,0,,,
0x452,60,,,
0x453,1000,,,
0x454,80,,,
0x455,0,,,
0x456,60,,,
0x457,1200,,,
0x458,80,,,
0x459,0,,,
0x45A,60,,,
0x45B,1450,,,
0x45C,65535,,,
0x45D,65535,,,
0x45E,65535,,,
0x45F,65535,,,
0x460,65535,,,
0x461,65535,,,
0x462,65535,,,
0x463,65535,,,
0x464,65535,,,
0x465,0,,,
0x466,0,,,
0x467,0,,,
0x468,0,,,
0x469,0,,,
0x46A,0,,,
0x46C,0,,,
0x46D,65535,,,
0x46E,65535,,,
0x46F,65535,,,
0x470,65535,,,
0x471,65535,,,
0x472,65535,,,
0x473,65535,,,
